Date,Stock Name,sentiment,stock_performance,pct_change,one_day_price,two_day_price,three_day_price,historical_price
2021-10-07,NOC,0.5562,1,1.8343304534826348,356.67,349.64,345.66,337.41
2021-10-07,PG,0.2763,-1,-0.41456743076905095,129.5,127.79,127.3,130.96
2021-10-07,TSLA,0.19254817518248174,-1,-1.0231834522373262,260.92,260.2,260.51,253.83
2021-10-07,TSM,0.23436,-1,-0.712812552220297,102.7,102.62,102.4,109.44
2021-10-07,XPEV,0.1779,-1,-1.5682135401020318,35.75,35.52,34.11,37.03
2021-10-08,AAPL,0.45607142857142857,-1,-0.0629880924324415,140.62,139.35,138.48,142.99
2021-10-08,AMD,0.5416,-1,-0.3616954713957973,106.45,103.64,101.81,104.18
2021-10-08,AMZN,0.3972,-1,-1.2868603350918464,165.12,163.1,161.05,168.86
2021-10-08,BA,0.65065,1,0.026501859073061757,226.48,224.99,224.42,217.89
2021-10-08,DIS,0.0,-1,-1.8218782537832272,175.54,173.34,172.48,176.07
2021-10-08,F,0.4939,-1,-0.19840827411655568,11.75,11.14,11.28,10.75
2021-10-08,META,-0.05135,-1,-1.3937307477853276,327.68,332.07,331.4,352.55
2021-10-08,MSFT,0.3972,-1,-0.2102672363758268,286.3,284.61,280.38,285.96
2021-10-08,NFLX,0.3953,-1,-0.8883121037757846,631.85,639.1,634.81,598.23
2021-10-08,NIO,0.055833333333333346,-1,-0.5302886734478772,35.99,33.66,33.87,36.16
2021-10-08,NOC,0.4939,1,0.8826805016679077,361.75,356.67,349.64,338.43
2021-10-08,PG,0.3972,1,0.41629324698755227,130.53,129.5,127.79,130.91
2021-10-08,PYPL,0.8074,-1,-1.9264764107779178,263.54,264.06,260.15,272.37
2021-10-08,TSLA,0.2200111111111111,1,0.821152856557585,264.54,260.92,260.2,254.45
2021-10-08,TSM,0.231875,1,0.1999503501290299,104.1,102.7,102.62,108.87
2021-10-11,AAPL,0.08895,-1,-0.9102828934253271,140.24,140.62,139.35,141.82
2021-10-11,AMD,0.314775,1,0.3439058170634746,105.06,106.45,103.64,103.98
2021-10-11,AMZN,-0.7184,1,0.03172745113596496,164.43,165.12,163.1,167.77
2021-10-11,BA,0.2023,-1,-1.2717993653502644,226.39,226.48,224.99,219.22
2021-10-11,GOOG,0.0,-1,-1.5373074307903594,139.4,138.53,136.71,138.86
2021-10-11,META,0.11205000000000001,-1,-0.5162082921939417,328.5,327.68,332.07,347.78
2021-10-11,MSFT,-0.7184,-1,-0.45883912366480806,286.3,286.3,284.61,285.5
2021-10-11,NFLX,0.07969999999999998,-1,-0.3349029821900646,632.66,631.85,639.1,599.57
2021-10-11,NIO,0.14504285714285714,-1,-0.36476170129507046,35.83,35.99,33.66,35.84
2021-10-11,PG,-0.7184,-1,-0.14754462459232937,129.99,130.53,129.5,130.65
2021-10-11,PYPL,0.6705,1,0.3136651802334879,260.06,263.54,264.06,269.78
2021-10-11,TSLA,0.1852863157894737,1,1.7400267303360875,261.83,264.54,260.92,255.57
2021-10-11,TSM,0.39247272727272725,-1,-0.9613855952025754,103.35,104.1,102.7,107.73
2021-10-11,XPEV,0.6486,1,0.7749891227092955,37.66,38.26,35.75,36.58
2021-10-12,AAPL,0.006786956521739128,-1,-0.42399768207128946,140.15,140.24,140.62,141.74
2021-10-12,AMD,0.4249,1,3.922317889063346,104.68,105.06,106.45,104.01
2021-10-12,AMZN,0.13225714285714285,1,1.137860120398265,162.32,164.43,165.12,167.51
2021-10-12,BA,0.0,-1,-0.8006478893772295,226.45,226.39,226.48,219.56
2021-10-12,CRM,0.36315,1,1.9390654538259007,272.23,270.97,273.05,266.7
2021-10-12,DIS,0.08895,-1,-0.09819062471810903,171.4,174.58,175.54,174.81
2021-10-12,KO,0.6369,1,0.018430204588558187,48.81,48.71,48.49,48.59
2021-10-12,META,0.09549999999999999,1,0.23783260009348903,323.92,328.5,327.68,346.64
2021-10-12,MSFT,0.13225714285714285,1,1.1711487228817197,285.7,286.3,286.3,285.51
2021-10-12,NFLX,0.1352,1,0.7712752112824893,627.04,632.66,631.85,600.88
2021-10-12,NIO,0.37005000000000005,1,2.055768491802268,35.64,35.83,35.99,35.83
2021-10-12,PG,0.13225714285714285,1,0.2322034521342465,130.53,129.99,130.53,130.65
2021-10-12,PYPL,0.1779,1,0.1993274324334157,255.05,260.06,263.54,269.08
2021-10-12,TSLA,0.19125478260869566,1,0.6652379022320155,263.98,261.83,264.54,255.97
2021-10-12,TSM,0.3046175,1,0.7142957032167035,103.56,103.35,104.1,107.53
2021-10-12,VZ,-0.27065,1,0.03896554426535152,42.46,43.32,43.85,43.63
2021-10-12,XPEV,0.4215,1,5.780960907191883,37.42,37.66,38.26,36.62
2021-10-13,AAPL,-0.09608,1,2.022578409823186,138.87,140.15,140.24,141.61
2021-10-13,AMD,0.2271,1,2.5925193355801235,105.04,104.68,105.06,104.06
2021-10-13,AMZN,0.068575,1,0.47437592275511203,162.37,162.32,164.43,167.28
2021-10-13,BA,0.9269,-1,-1.9568925790325882,223.57,226.45,226.39,219.75
2021-10-13,DIS,0.765,1,0.8383477187114231,171.02,171.4,174.58,174.64
2021-10-13,GOOG,0.7825500000000001,1,2.546790871624859,136.07,138.19,139.4,138.71
2021-10-13,META,0.04362000000000001,1,1.2294227806665545,322.25,323.92,328.5,345.54
2021-10-13,MSFT,0.068575,1,2.1733905397306916,284.38,285.7,286.3,285.46
2021-10-13,NFLX,0.5326333333333333,1,0.6415107286420569,624.94,627.04,632.66,601.97
2021-10-13,NIO,0.3093571428571429,1,0.11036727090949262,35.51,35.64,35.83,35.82
2021-10-13,PG,0.068575,1,1.1302847856547946,130.34,130.53,129.99,130.64
2021-10-13,PYPL,0.765,1,3.9358821313832046,255.85,255.05,260.06,268.48
2021-10-13,TSLA,0.16009655172413792,1,0.8926471099504287,268.57,263.98,261.83,256.54
2021-10-13,TSM,0.14911794871794873,1,2.345880690525883,102.57,103.56,103.35,107.31
2021-10-13,XPEV,0.5106,-1,-1.2534469983716052,37.71,37.42,37.66,36.67
2021-10-13,ZS,0.362,1,2.5293049223752266,277.72,267.7,266.66,269.07
2021-10-14,AAPL,0.50486,1,0.7512487374186656,138.28,138.87,140.15,141.22
2021-10-14,AMD,0.5995285714285714,1,0.11608615527490652,109.16,105.04,104.68,104.26
2021-10-14,AMZN,0.36525555555555556,1,3.3080239390044244,164.21,162.37,162.32,166.89
2021-10-14,BA,0.28099999999999997,-1,-0.1839630016474215,221.78,223.57,226.45,220.08
2021-10-14,CRM,0.7177,1,0.5654779823776064,282.83,277.45,272.23,268.56
2021-10-14,DIS,0.2787,1,1.1753792118685065,170.85,171.02,171.4,174.1
2021-10-14,ENPH,0.8748,-1,-0.4948789368123864,173.21,169.84,161.26,155.89
2021-10-14,GOOG,0.4215,1,0.18597361698520007,137.25,136.07,138.19,138.46
2021-10-14,INTC,-0.6792,1,1.0389505608877696,48.13,48.05,49.22,49.52
2021-10-14,META,0.4185875,-1,-1.1475279175329163,323.02,322.25,323.92,343.18
2021-10-14,MSFT,0.36525555555555556,1,0.4822400738148197,287.72,284.38,285.7,285.43
2021-10-14,NFLX,0.9294,-1,-0.8693609769246081,629.76,624.94,627.04,603.81
2021-10-14,NIO,0.49402,1,3.9415665746709143,36.24,35.51,35.64,35.72
2021-10-14,PG,0.36525555555555556,1,0.2568403269456443,130.64,130.34,130.53,130.5
2021-10-14,PYPL,0.1779,1,0.7130770536456507,256.36,255.85,255.05,267.38
2021-10-14,TSLA,0.15842523364485983,1,3.0195999501915196,270.36,268.57,263.98,257.58
2021-10-14,TSM,-0.012824000000000006,1,2.0433571300426685,103.3,102.57,103.56,106.75
2021-10-14,XPEV,0.5965,1,8.6316364015289,39.89,37.71,37.42,36.74
2021-10-15,AAPL,0.13035714285714287,1,1.180604287588755,141.08,138.28,138.87,141.03
2021-10-15,AMD,0.5381666666666667,1,3.844093340182459,111.99,109.16,105.04,104.54
2021-10-15,AMZN,0.01945714285714286,1,1.1064772529006075,164.99,164.21,162.37,166.55
2021-10-15,BA,0.434625,-1,-0.027643549783312397,217.44,221.78,223.57,220.35
2021-10-15,COST,0.9042,1,2.113233195901101,430.73,425.6,427.1,432.27
2021-10-15,CRM,0.0,1,0.013720495410894115,288.41,282.83,277.45,270.17
2021-10-15,DIS,0.3982,-1,-3.0148479930864487,172.28,170.85,171.02,173.74
2021-10-15,KO,0.0,-1,-0.9911932402799459,49.15,48.82,48.81,48.5
2021-10-15,META,0.5864,1,3.257788536187889,326.99,323.02,322.25,341.01
2021-10-15,MSFT,0.01945714285714286,1,1.0124796380529935,293.97,287.72,284.38,285.56
2021-10-15,NFLX,0.15785,1,1.5406886969888876,633.8,629.76,624.94,606.36
2021-10-15,NIO,0.11804285714285714,1,5.038455507842334,36.28,36.24,35.51,35.64
2021-10-15,PG,0.01945714285714286,-1,-1.440215018536041,132.12,130.64,130.34,130.44
2021-10-15,PYPL,0.23420000000000002,1,0.7378350749827169,266.45,256.36,255.85,266.67
2021-10-15,TSLA,0.08031830985915493,1,3.2122244936434474,272.77,270.36,268.57,258.69
2021-10-15,TSM,0.16431923076923077,1,0.41788517429114397,105.72,103.3,102.57,106.32
2021-10-15,VZ,0.0,-1,-0.688757396874306,42.24,41.78,41.76,43.38
2021-10-15,XPEV,0.36585,1,0.9815334422975122,39.39,39.89,37.71,36.78
2021-10-18,AAPL,0.2617,1,1.5080139499990293,142.14,141.08,138.28,140.46
2021-10-18,AMD,0.3712777777777778,-1,-0.08588720592543743,112.12,111.99,109.16,104.82
2021-10-18,AMZN,0.06164285714285716,-1,-0.07514424560826287,170.45,164.99,164.21,165.66
2021-10-18,BA,0.526,-1,-0.46547816698465777,217.04,217.44,221.78,221.18
2021-10-18,BX,0.4939,1,2.406913797635277,108.91,108.03,105.07,105.68
2021-10-18,COST,0.886,1,1.1104881099162114,432.38,430.73,425.6,431.0
2021-10-18,DIS,0.41000000000000003,1,0.023368608890812454,174.31,172.28,170.85,172.61
2021-10-18,GOOG,0.19593333333333335,1,0.6026236014315233,141.01,140.75,137.25,137.8
2021-10-18,INTC,-0.5423,1,1.3585424248636082,50.16,49.65,48.13,49.39
2021-10-18,KO,0.443,1,0.3893430626534531,49.03,49.15,48.82,48.35
2021-10-18,META,0.23406,1,1.3866482531209094,323.24,326.99,323.02,335.95
2021-10-18,MSFT,0.06164285714285716,1,0.30587467361589055,295.39,293.97,287.72,284.71
2021-10-18,NFLX,0.30358,1,0.16145419756039225,628.29,633.8,629.76,610.48
2021-10-18,NIO,0.19447368421052633,1,1.0603336593626596,37.71,36.28,36.24,35.46
2021-10-18,PG,0.06164285714285716,-1,-1.1802846736673702,132.46,132.12,130.64,130.23
2021-10-18,PYPL,-0.6096,1,0.5067975077930855,268.35,266.45,256.36,264.66
2021-10-18,TSLA,0.2187304054054054,-1,-0.6711860640270406,281.01,272.77,270.36,260.74
2021-10-18,TSM,0.1570608695652174,1,1.4045513952833575,107.88,105.72,103.3,105.46
2021-10-18,XPEV,0.5256,-1,-0.13885109897007586,42.79,39.39,39.89,36.86
2021-10-18,ZS,0.1531,-1,-1.088579471598527,292.7,293.89,286.64,271.28
2021-10-19,AAPL,0.2887642857142857,1,0.33610615423255763,143.82,142.14,141.08,140.62
2021-10-19,AMD,0.53284,1,0.0515753095928633,116.43,112.12,111.99,105.37
2021-10-19,AMZN,0.3220875,-1,-0.8446195751808624,172.34,170.45,164.99,165.97
2021-10-19,BA,0.3426,1,0.09260404089075663,216.98,217.04,217.44,220.98
2021-10-19,COST,0.0,1,0.575933041400746,441.52,432.38,430.73,431.5
2021-10-19,CRM,0.2023,-1,-0.7696572049956178,290.08,290.04,288.41,273.87
2021-10-19,DIS,0.2252,-1,-0.36801697668034644,169.05,174.31,172.28,172.44
2021-10-19,ENPH,0.2481,-1,-3.7207267967048976,179.97,172.92,173.78,158.33
2021-10-19,GOOG,0.3080333333333333,-1,-0.9783089079451995,142.29,141.01,140.75,138.01
2021-10-19,INTC,0.2481,1,0.2898243267745092,50.17,50.16,49.65,49.43
2021-10-19,META,-0.058833333333333335,1,0.23236619599420377,333.77,323.24,326.99,335.85
2021-10-19,MSFT,0.3220875,-1,-0.2660313998625284,298.38,295.39,293.97,285.36
2021-10-19,NFLX,0.06031428571428571,-1,-2.1690117921068075,637.97,628.29,633.8,611.78
2021-10-19,NIO,0.3484133333333333,-1,-0.6245316203439346,39.61,37.71,36.28,35.66
2021-10-19,PG,0.3220875,1,0.3910150281765004,130.55,132.46,132.12,130.24
2021-10-19,PYPL,0.2023,-1,-4.909836678735168,270.33,268.35,266.45,264.93
2021-10-19,TSLA,0.15556607142857143,1,0.17703140411263274,290.04,281.01,272.77,262.14
2021-10-19,TSM,0.3023448275862069,-1,-1.1713288109578768,108.33,107.88,105.72,105.59
2021-10-19,VZ,0.0,1,2.4068915413004555,42.24,42.53,42.24,43.23
2021-10-19,ZS,0.424725,-1,-0.1207882941438669,301.31,292.7,293.89,272.71
2021-10-20,AAPL,0.21323,1,0.14741131726403095,145.99,143.82,142.14,140.86
2021-10-20,AMD,0.805825,1,2.5259923161987143,116.33,116.43,112.12,105.87
2021-10-20,AMZN,0.09723333333333332,1,0.5841756945128931,172.21,172.34,170.45,166.26
2021-10-20,BA,0.6983,-1,-0.8465568055491537,215.97,216.98,217.04,220.76
2021-10-20,COST,0.34,1,1.5880156971154893,446.42,441.52,432.38,432.17
2021-10-20,DIS,0.886,1,0.463201305126127,169.09,169.05,174.31,172.29
2021-10-20,GOOG,0.8748,1,0.25666061311335286,143.14,142.29,141.01,138.25
2021-10-20,KO,0.5106,-1,-0.5125465276020194,48.73,48.55,49.03,48.38
2021-10-20,META,0.24071578947368422,1,0.32280041438514606,338.4,333.77,323.24,335.96
2021-10-20,MSFT,0.09723333333333332,1,1.0897633100341344,299.29,298.38,295.39,286.0
2021-10-20,NFLX,0.17720000000000002,1,4.482189243933048,639.0,637.97,628.29,613.02
2021-10-20,NIO,0.08664444444444444,1,0.47763310014261484,40.03,39.61,37.71,35.86
2021-10-20,PG,0.09723333333333332,-1,-0.7196649190184046,129.01,130.55,132.46,130.19
2021-10-20,PYPL,0.07950434782608697,-1,-5.8639028861532205,271.7,270.33,268.35,265.24
2021-10-20,TSLA,0.1229,1,3.257101073349516,288.09,290.04,281.01,263.32
2021-10-20,TSM,0.16801636363636363,1,0.6055958214822955,109.85,108.33,107.88,105.79
2021-10-21,AAPL,0.05778,-1,-0.5285099441730816,146.48,145.99,143.82,141.14
2021-10-21,AMD,0.4289866666666667,1,0.41062419865145194,116.39,116.33,116.43,106.54
2021-10-21,AMZN,-0.07101666666666667,-1,-2.8954833317208375,170.75,172.21,172.34,166.39
2021-10-21,BA,0.25,-1,-0.6391691427613012,216.17,215.97,216.98,221.06
2021-10-21,BX,0.6114,1,3.856012074563866,113.92,112.24,109.6,106.35
2021-10-21,CRM,0.25,1,0.9488924258559659,288.48,290.72,290.08,276.07
2021-10-21,DIS,0.0,-1,-1.1205821755002947,168.47,169.09,169.05,171.92
2021-10-21,GOOG,-0.62635,-1,-2.9104109972649432,141.74,143.14,142.29,138.4
2021-10-21,INTC,0.18885000000000002,-1,-11.678555126173377,51.0,50.85,50.17,49.59
2021-10-21,KO,0.5574,1,0.18400430617181046,49.17,48.73,48.55,48.4
2021-10-21,META,-0.07812727272727273,-1,-5.0515081601858265,339.18,338.4,333.77,335.29
2021-10-21,MSFT,-0.07101666666666667,-1,-0.5148765430038574,298.49,299.29,298.38,286.58
2021-10-21,NFLX,-0.1858,1,1.7790520898580025,625.14,639.0,637.97,615.28
2021-10-21,NIO,0.2844285714285714,-1,-2.727045582433725,39.78,40.03,39.61,36.07
2021-10-21,PG,-0.07101666666666667,1,1.0765770966832022,129.52,129.01,130.55,130.12
2021-10-21,PYPL,-0.0784888888888889,-1,-1.155385362366586,258.36,271.7,270.33,264.72
2021-10-21,TSLA,0.18600055555555556,1,1.7539107559511324,288.6,288.09,290.04,265.37
2021-10-21,TSM,0.15720384615384617,-1,-1.7714429606263353,108.57,109.85,108.33,105.83
2021-10-21,VZ,0.3612,-1,-0.8615843904053117,43.62,42.59,42.24,43.2
2021-10-22,AAPL,0.18282,-1,-0.033629575454843665,146.7,146.48,145.99,141.41
2021-10-22,AMD,0.37518,1,2.119847205805879,119.33,116.39,116.33,107.29
2021-10-22,AMZN,-0.05655833333333333,-1,-0.4550989805058221,171.75,170.75,172.21,166.6
2021-10-22,BA,0.2553,-1,-0.04695783581838251,214.34,216.17,215.97,221.32
2021-10-22,COST,0.14503333333333335,1,1.682611777249001,456.12,448.99,446.42,434.08
2021-10-22,CRM,0.0,1,0.46486243357272433,288.2,288.48,290.72,277.51
2021-10-22,GOOG,-0.0795,1,0.10675616209108922,142.11,141.74,143.14,138.54
2021-10-22,INTC,-0.6318,-1,-0.1011124377844494,51.58,51.0,50.85,49.73
2021-10-22,META,0.2269421052631579,1,1.256909113252264,340.28,339.18,338.4,334.58
2021-10-22,MSFT,-0.05655833333333333,-1,-0.3331502096637248,301.75,298.49,299.29,287.28
2021-10-22,NFLX,0.4137,1,1.0349203562768023,653.16,625.14,639.0,618.92
2021-10-22,NIO,0.35308333333333336,1,6.147117602855293,39.97,39.78,40.03,36.3
2021-10-22,PG,-0.05655833333333333,1,0.014205854573140487,128.58,129.52,129.01,129.99
2021-10-22,PYPL,-0.29295,1,2.6955121259771753,243.21,258.36,271.7,263.52
2021-10-22,TSLA,0.1931622754491018,1,12.661598362581975,298.0,288.6,288.09,267.71
2021-10-22,TSM,0.22200384615384616,-1,-0.5165085769507826,109.22,108.57,109.85,105.88
2021-10-25,AAPL,0.1692,1,0.45749935014296855,145.92,146.7,146.48,141.28
2021-10-25,AMD,0.11831666666666667,1,0.46583825758496866,119.82,119.33,116.39,108.2
2021-10-25,AMZN,-0.043707142857142854,1,1.6775261603935518,166.78,171.75,170.75,166.05
2021-10-25,BA,0.0,-1,-1.437495950008917,212.97,214.34,216.17,221.13
2021-10-25,DIS,0.2202,1,0.017431072948546365,167.35,169.25,168.47,171.52
2021-10-25,ENPH,0.3399,-1,-3.3271951209971085,176.7,179.8,180.1,163.59
2021-10-25,GOOG,0.0,1,0.6478191961469567,137.97,142.11,141.74,138.13
2021-10-25,INTC,0.4995,-1,-2.286984592554146,45.56,51.58,51.0,49.53
2021-10-25,KO,0.128,1,0.4425672071322859,49.0,48.91,49.17,48.41
2021-10-25,META,0.11437659574468086,-1,-3.9185853794093672,323.09,340.28,339.18,332.33
2021-10-25,MSFT,-0.043707142857142854,1,0.64257885075306,300.19,301.75,298.49,287.44
2021-10-25,NFLX,-0.428,-1,-0.46749154912132584,664.78,653.16,625.14,625.23
2021-10-25,NIO,0.2328,-1,-1.9384522127138766,38.88,39.97,39.78,36.52
2021-10-25,PG,-0.043707142857142854,1,1.4199376087664672,129.97,128.58,129.52,129.71
2021-10-25,PYPL,0.024885714285714285,-1,-1.5716156861930706,240.4,243.21,258.36,260.42
2021-10-25,TSLA,0.20450194805194805,-1,-0.6274050392506694,303.23,298.0,288.6,271.65
2021-10-25,TSM,0.133303125,1,0.47520184874183835,107.29,109.22,108.57,105.51
2021-10-25,VZ,0.128,1,0.9509356611261033,43.07,43.44,43.62,43.13
2021-10-25,XPEV,0.0,-1,-5.718444564928979,43.14,43.5,42.94,38.54
2021-10-25,ZS,0.5106,1,1.3239058340545955,307.87,305.69,297.67,277.81
2021-10-26,AAPL,0.11575555555555556,-1,-0.3147592276215904,145.87,145.92,146.7,141.5
2021-10-26,AMD,0.04986190476190476,-1,-0.5287574426627077,122.36,119.82,119.33,108.87
